"filename", "language", "TypeScript", "TypeScript JSX", "Less", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/hooks/useConfirmHook.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 1, 8, 66
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/hooks/useCountDown.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 3, 9, 37
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/hooks/useGetAllSubjects.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 3, 6, 21
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/locales/zh-CN.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 2, 25
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/locales/zh-CN/component.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/locales/zh-CN/globalHeader.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 1, 18
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/locales/zh-CN/menu.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 1, 55
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/locales/zh-CN/pages.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 1, 68
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/locales/zh-CN/pwa.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 1, 7
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/locales/zh-CN/settingDrawer.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 1, 32
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/locales/zh-CN/settings.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 1, 56
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/manifest.json", "JSON", 0, 0, 0, 0, 22, 0, 1, 23
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/pages/404.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 3, 19
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/pages/Classes/Attendance/fields.tsx", "TypeScript JSX", 0, 159, 0, 0, 0, 5, 16, 180
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/pages/Classes/Attendance/index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/pages/Classes/Attendance/index.tsx", "TypeScript JSX", 0, 86, 0, 0, 0, 4, 14, 104
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/pages/Classes/Attendance/interface.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/pages/Classes/Attendance/services.ts", "TypeScript", 20, 0, 0, 0, 0, 2, 4, 26
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/pages/Classes/ClassesList/components/addClassCourse.tsx", "TypeScript JSX", 0, 70, 0, 0, 0, 3, 12, 85
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/pages/Classes/ClassesList/components/createOrEdit.tsx", "TypeScript JSX", 0, 174, 0, 0, 0, 4, 22, 200
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/pages/Classes/ClassesList/components/detail.tsx", "TypeScript JSX", 0, 197, 0, 0, 0, 6, 16, 219
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/pages/Classes/ClassesList/fields.tsx", "TypeScript JSX", 0, 111, 0, 0, 0, 1, 5, 117
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/pages/Classes/ClassesList/index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/pages/Classes/ClassesList/index.tsx", "TypeScript JSX", 0, 110, 0, 0, 0, 5, 13, 128
"/Users/wangyuhang/Desktop/mypro/niumu-art/src/pages/Classes/ClassesList/interface.d.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 3, 34
